commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl,questions,constructive-feedback,sentiment-positive-video,sentiment-negative-video,off-topic,worth-noting
Ugyspwu3aF5B-jT-AOV4AaABAg,0,48Gxwmofaho,how the skeletons have teeth but no nose?,2021-07-29T16:00:32Z,Bipul Mohanto,https://yt3.ggpht.com/ytc/AKedOLSR1mXzNe-JlvhWiPl7RwpDzHR3X83C0f4BzGdfZg=s48-c-k-c0x00ffffff-no-rj,1,,,,,
Ugwikvu-RwCdQ5UWEph4AaABAg,0,48Gxwmofaho,"Rizzo did have a disease, and it wasn't funny.",2020-07-28T16:43:46Z,Mac Swanton,https://yt3.ggpht.com/ytc/AKedOLRxrO_OIhE4hpeE4qeF2OegWQcsn0yuhpuxeA=s48-c-k-c0x00ffffff-no-rj,,,,1,,
Ugw6YqGTFw-USbxXFKB4AaABAg,0,48Gxwmofaho,7:13 - 7:17 didnt notice that in the movoe though.... i always am amazed by the amount of detail there can be in ANY thing in this world.,2020-07-02T09:26:04Z,Yash,https://yt3.ggpht.com/ytc/AKedOLTV9hbnQgmPhlZbfIeJk1dgaLvCZXQLFVxlsStccQ=s48-c-k-c0x00ffffff-no-rj,,,1,,,
UgwiI87RUCZ9rX02HE54AaABAg,0,48Gxwmofaho,When 3d movies make better cloth collision that most video games,2020-03-29T17:27:37Z,GrimXFast,https://yt3.ggpht.com/ytc/AKedOLRmdKo81SG7EHsGAKB22OdSfFaJOcfEq8LgnfgM9Q=s48-c-k-c0x00ffffff-no-rj,,,1,,,opinion?
UgwiI87RUCZ9rX02HE54AaABAg.96nMo_v5XfP9AbRgVeQEzH,UgwiI87RUCZ9rX02HE54AaABAg,48Gxwmofaho,"@Diana aka Artblob But when games do catch up to the current level of cloth sim, animated films will surely have gone a lot farther w.r.t. realism.",2020-07-02T12:24:54Z,Ayush Chaudhari,https://yt3.ggpht.com/ytc/AKedOLTxPlD-7xXMmr32KEAMymQwYiGzIfSNmEER4lQ7-g=s48-c-k-c0x00ffffff-no-rj,,,,,,opinion?
UgwiI87RUCZ9rX02HE54AaABAg.96nMo_v5XfP9AKAcxfC80W,UgwiI87RUCZ9rX02HE54AaABAg,48Gxwmofaho,"@SmokeyDokey Also simulation like this takes up much computing capacity, so making it work in a real time environment, where you don't have multiple weeks to render out one frame like in the film industry is just not possible at this level these times. But I am sure games will catch up some day in this regard ^^",2020-06-25T10:09:32Z,Diana aka Artblob,https://yt3.ggpht.com/ytc/AKedOLSSbTvoXyBi-TldYuGGqB6ywQZufMe05usc9w=s48-c-k-c0x00ffffff-no-rj,,,,,,opinion?
UgwiI87RUCZ9rX02HE54AaABAg.96nMo_v5XfP9A3hOnVfKoK,UgwiI87RUCZ9rX02HE54AaABAg,48Gxwmofaho,"I mean, duh. It's a multi million dollar studio who can spend days rendering a scene if need be.",2020-06-19T00:37:28Z,SmokeyDokey,https://yt3.ggpht.com/ytc/AKedOLR9xEdq4e1Tl0PP9a4QnwtMnmyM13Oj6ZfxLPH5=s48-c-k-c0x00ffffff-no-rj,,,,1,,
Ugw7WZpxTE-c0W7DWth4AaABAg,0,48Gxwmofaho,I do not know much about those stories but some already appeared withouth legs here: https://www.youtube.com/watch?v=zcRgYbdU-v0 IT reminds me that old movie too: https://www.youtube.com/watch?v=7F0wYh4mBdo,2019-12-27T17:19:38Z,Martha Patricia Nino,https://yt3.ggpht.com/ytc/AKedOLS-X-HRWkXF3MK7MH5oKXa6EuxL36YZPx4N1vgZWg=s48-c-k-c0x00ffffff-no-rj,,,,,,opinion
Ugxy5XrgTa8EBTdNv_V4AaABAg,0,48Gxwmofaho,ha boner,2019-10-06T08:23:46Z,Not You,https://yt3.ggpht.com/ytc/AKedOLRJMSkYNlphSCvvY5pAQbd9bsF-8w6POf_qK9Q6=s48-c-k-c0x00ffffff-no-rj,,,,,1,
UgxML3HCDNJrEKsWCM14AaABAg,0,48Gxwmofaho,"See, that simulation thing for the rib cage is huge. I wanna make a skeleton character and I want this rib cage to be loose like that, but I'll need to animate it all by hand unless I can get my hands on that software.",2019-08-02T18:58:16Z,ShyPoke,https://yt3.ggpht.com/ytc/AKedOLRNtTDGVp48bKx62-sETxpfaMEkQz2EkNq6kbiIhA=s48-c-k-c0x00ffffff-no-rj,,,,1,,
