publishedAt,authorProfileImageUrl,videoId,authorDisplayName,textDisplay
2018-10-18T14:42:10.000Z,https://yt3.ggpht.com/-KeH1xPP8_FU/AAAAAAAAAAI/AAAAAAAAAAA/6GaNyuSnaRY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Nath G.,I like the robotic voices though ;/
2018-09-27T19:00:30.000Z,https://yt3.ggpht.com/-1Hu9Dkmd73I/AAAAAAAAAAI/AAAAAAAAAAA/5LQcJBQ8J7U/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,T.R. McCoy,"Fascinating, thank you."
2018-09-16T02:16:06.000Z,https://yt3.ggpht.com/-qxZlAFh6K2o/AAAAAAAAAAI/AAAAAAAAAAA/H71_v2HFkdE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Republican 2.0,"Hm hm , great but a bit sleepy for a weak body of me"
2018-09-06T21:57:12.000Z,https://yt3.ggpht.com/-6gmJ1R54rE4/AAAAAAAAAAI/AAAAAAAAAAA/Ue5kCi8qEo8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,HMALDANA,"Thank you, Carrie. Great explanation!"
2018-08-28T23:35:03.000Z,https://yt3.ggpht.com/-7pu5JaSSMt4/AAAAAAAAAAI/AAAAAAAAAAA/VxfGqGNS9So/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Tueem Syhu,Good and Interesting!😀😁
2018-08-28T10:57:41.000Z,https://yt3.ggpht.com/-IDPaDbtOCM4/AAAAAAAAAAI/AAAAAAAAAAA/0NoPILl_uho/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Patrik Karlsson,great stuff!!
2018-08-20T08:11:16.000Z,https://yt3.ggpht.com/-4O_NPi1NU3M/AAAAAAAAAAI/AAAAAAAAAAA/DAhldhpDlzg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Dominik Kolesár,Your enthusiasm is awesome.
2018-08-20T06:26:28.000Z,https://yt3.ggpht.com/-2_kVDhSALlc/AAAAAAAAAAI/AAAAAAAAAAA/r4w-oIQp2mU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Kyle Noe,Omg like x1000. Great coverage girl...
2018-08-19T05:20:52.000Z,https://yt3.ggpht.com/-s_-q4zex9P4/AAAAAAAAAAI/AAAAAAAAAAA/49ZgZDKKh5M/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Vishal Mistry,"Ahhh there's the problem, she used Siri..."
2018-08-02T11:46:11.000Z,https://yt3.ggpht.com/-oWzEZYoZdR4/AAAAAAAAAAI/AAAAAAAAAAA/dWiWGaOZv0Y/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Andrew Jones,This is awesome you rock comp sci goddess.
2018-06-07T06:16:16.000Z,https://yt3.ggpht.com/-hPqvZ1UGqec/AAAAAAAAAAI/AAAAAAAAAAA/mYxc3OgzcBg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,chethan pai,"A video on
1) firmware, drivers, microcontroller, daq and PLD
2) database 
Would be very useful and complete..."
2018-06-05T18:58:11.000Z,https://yt3.ggpht.com/-wrvU3-361h8/AAAAAAAAAAI/AAAAAAAAAAA/flWdXwAlkMw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Tom B,"Very impressive young lady, Thks"
