videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
EH6vE97qIP4,"35:13 he mentioned ""Cyberpunk"" in relation to cryptocurrencies 3 years before ""Cyberpunks"" came in.",2022-04-12T20:27:49Z,Angelchildxx,https://yt3.ggpht.com/ytc/AKedOLSp7Llt8-wNLbeOF0gPt_NmuTDA2Kr37Meow1L7=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Youtube you messed up! shoulda suggested this video back when it was posted! damn.,2022-04-12T13:48:47Z,mexti cancun,https://yt3.ggpht.com/ytc/AKedOLQd7iVr_LRxFajuAFNhel22stmadnJYZSZcgqIukQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Gary I love you and your work and dedication please keep teachiiing <3,2022-04-06T09:17:15Z,Char Lee,https://yt3.ggpht.com/ytc/AKedOLTjyv4SjKAlwcBvIEo9W6Nsr7NRXdhCsEFSkdvL=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,XRP is not a security gary!!!!!!!!!!!!!!!!!!,2022-04-06T05:58:16Z,Trump Vs. The FED,https://yt3.ggpht.com/ytc/AKedOLTqGhGofOlLwSCa_1WGCpW7sQNMbhXA3CgAML7wtg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"I know Laszlo paid(lost 10,000btc) but does the Papa John owner still have the BTC he received or what price he sold them?",2022-04-03T05:51:54Z,Nelson Nelson,https://yt3.ggpht.com/ytc/AKedOLQPCEbuR20L7atp-Zoy75w6f9KN8Wb_KqlrwA-T=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,This channel  looking forward to the rest of them,2022-03-30T10:32:43Z,hiro obi,https://yt3.ggpht.com/ytc/AKedOLRNu0n5-IL5uMEjhy5EZq-ufXdzRCYyNDN_uKI7=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Man, imagine having your exam graded by the future SEC chairmen!
Crazy!",2022-03-29T22:12:20Z,k roninson,https://yt3.ggpht.com/ytc/AKedOLS-YRwuNQPPVDSKgCRvEuTK5FmipjNIHY4DU22fOg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"So why doesn't this passion that Mr Gensler displayed here cross over to help meme traders and the Apes that are getting shafted by the hedge funds right now?

The market manipulation and insider black market trading that is allowed and unpunished is not representative of such a passionate instructor.           APES are going nowhere Mr Gensler.    We want fair representation as the future of the global financial market...",2022-03-29T19:07:13Z,Joseph D Fred,https://yt3.ggpht.com/ytc/AKedOLRF2xvooRBOtloIPiq-Tu1O9jJ-zJJ-irhRxQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"To get away from FAKE NEWS on this earth is a Noble Goal, as millions of others on this Earth already got rid of there TV years ago, but the propaganda machine is a growing hidden daily infection not realized by the masses. Become your own Filter as your on your own and no one is going to help you. Before you'll own Nothing & Be Happy Agenda before the Sheep revolt",2022-03-29T13:00:54Z,Dr. Paul Plumbing Heating,https://yt3.ggpht.com/ytc/AKedOLTXmmY_YkqM9sqiGA1bhTpMH_B-WbePYKit-4ut7g=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,encrypt and decrypt >>,2022-03-28T07:53:58Z,iszz qaseh,https://yt3.ggpht.com/ytc/AKedOLTHAO4gBMnFDuV_hffgFfbIt5HShmc3c_P_zg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Thank you for your analysis. You shared an interesting idea zooming out the chart but do you think that the fundamentals and trends on the global financial market will make this scenario come true? If FED increases the interest rate the forecast for BTC is not so positive, unfortunately. I am curious about your thoughts on this topic.",2022-03-26T23:40:25Z,Mitchell Herrera,https://yt3.ggpht.com/WTb1f7hTULNZnn72vYmmZGf1u5Qmmb3U93R9CDUl6C0v_jx7bAXMq7QCTeEtAQ7tKVw-xuFv=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,It's now 2022 and it is still interesting and actual. Thanks for publishing!,2022-03-26T04:23:49Z,Ron van den Bogaard,https://yt3.ggpht.com/ytc/AKedOLTScv5TffUB2UPFyTGR9Y812AhZJ888xdc2cjfVyg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Interesting and informative,2022-03-24T18:52:17Z,Martin Reamy,https://yt3.ggpht.com/ytc/AKedOLTBgGfxDM-aGrgzaHtxU1GCDt_R4jdIekD6b-7U=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Ignore all the XRP comments here, they are literal bots, XRP community are quite literally, not figuratively or comparatively, bot accounts with zero originality and an apparent huge effectiveness index",2022-03-24T06:07:25Z,Felicity Chevalier,https://yt3.ggpht.com/Egwx1s9sinzKnHbAJMv6vm-ocVnTisuXE4726fOdN0vge4AJtY50xvd9SGovfQjZer3Dey66ug=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,We are very lucky to have GG as chairman of the SEC,2022-03-23T23:09:53Z,Yahshua11,https://yt3.ggpht.com/ytc/AKedOLRnlMxpl76y0E4UgzEa2Ych1wZ2NpbdZa_bAOIC=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Wow this is very informative stuff. Thanks MIT,2022-03-23T12:06:26Z,MsVeeRose,https://yt3.ggpht.com/Zdb0w321eYRVfIiadzv8U6OwnU1NCu6i7OTuRZccvCCIlmEIurvotHR8s5byLum8c4elDEMV2Co=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,The professor is Satoshi Nakamoto....,2022-03-22T19:37:24Z,Vinayak Tripathi,https://yt3.ggpht.com/ytc/AKedOLSux6cy-R6EGxcSND-wuJ0ApUzZoVMYPDr7ptiufg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"When will KDA (Kadena) reaches $2000. Choose the Correct Answer:
a) year 2025 b ) year 2026",2022-03-21T10:06:14Z,Jonathan Wyatt McQuarry,https://yt3.ggpht.com/ytc/AKedOLRrOlDhKWVqY2Y5_CUg9S4-Zf6_c7IHAGbq8wXOmoThyyYukc7lV4Ia5GqQOfZa=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,When professor say this class will change your life lol Bitcoin that summer was 3k and 10k during video and they usually say the class lectures kick in years later 😂,2022-03-19T12:11:30Z,Yuh,https://yt3.ggpht.com/ytc/AKedOLT5zpwJQJ-XpSnecHRHoNZTSZDQMNWNI_wtqcZV=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,We have crypto youtubers explaining blockchain technology wrong. This is a good place to start.,2022-03-18T21:47:57Z,Gregory Sanchez,https://yt3.ggpht.com/ytc/AKedOLTlXJCI2OHolz2y7B_nF6SMdXYl1MR1qneHyA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,My Ginsla!,2022-03-17T12:32:07Z,Gackt Cognac,https://yt3.ggpht.com/ytc/AKedOLSNBUvvSgmPW8qQ3_qREhYkCpkuJlUU8FJNyghaEA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Apply your Duck test to XRP.,2022-03-17T05:03:20Z,Nathan Mulready,https://yt3.ggpht.com/ytc/AKedOLSAWGXuLkWYNBBSbeA6M59Rxec9YBmbZFE6_o2uxQ=s48-c-k-c0x00ffffff-no-rj
