commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
Ugx8wNmHpIpNzVWWG0d4AaABAg,0,L1ung0wil9Y,13:17  That's what I believe in too.,2022-04-24T09:42:35Z,Slawomir P Wojcik,https://yt3.ggpht.com/ytc/AKedOLSjiqLDS4Fxm309f19rNCcfGf9Kz6dggvQt1XmvwA=s48-c-k-c0x00ffffff-no-rj
UgwBuKUGBcomtXO6NLF4AaABAg,0,L1ung0wil9Y,very nice video about language and computer.,2022-04-22T07:38:04Z,WECON Technology,https://yt3.ggpht.com/ytc/AKedOLR-j331YXdGzMhi5RPvoBprOLO6Oa_lVkCHni4ymw=s48-c-k-c0x00ffffff-no-rj
UgwAvaudPJggwfSO1wZ4AaABAg,0,L1ung0wil9Y,Watch your umms.,2022-04-09T07:24:45Z,Caleb,https://yt3.ggpht.com/ytc/AKedOLRkbFLMT6_JCPuDtjDMKQaddZpn2Sbe2kcbsgSP-A=s48-c-k-c0x00ffffff-no-rj
UgydJgygyTJtz37rym14AaABAg,0,L1ung0wil9Y,"Interesting! I, much like the professor, started by doing most software projects in assembly code. Over the years I learned many, once you get the hang of one, others come more easily. I was reflecting back on one project I worked on where the code ran on an IBM 370, there were many groups involved, each writing code with only a specification sheet. I later learned it was a government secret project, so one group didn't know much about any other, all we ever saw of other groups work was object code modules for the linker which got linked to our code. Software breaks, in several cases the code authoring group no longer existed (Legacy) and if there was source code it was classified, when we traced a fault to such an object module we often had to disassemble it to figure out what it was doing. Our group usually wrote in IBM370 assembly, but we soon discovered that other groups had used many different languages - you can recognize compiler constructs after a while. Some code was written in C, FORTRAN, PL1,  COBOL, even FORTH and assembly. Once we figured out what was broken, we had to write a patch for that object module - remember it was legacy code - no",2022-03-28T02:40:59Z,Velin,https://yt3.ggpht.com/h0wJoqeMFF_lx8gAK_6GkgA9HpaseNOSh4g8VvTrSDo2ffBMxFG6_mZiUz2BZ-ywi8FPAGEl=s48-c-k-c0x00ffffff-no-rj
UgxDYGYKvNloLbq8peB4AaABAg,0,L1ung0wil9Y,"closed captions on... 10:00 : ""..get the sauce..."" - funny",2022-03-23T17:44:56Z,Jose Swarthy,https://yt3.ggpht.com/ytc/AKedOLRtBWUEAlRyc4BpgIBot0NHnItoKKYt-u59Q_sYAg=s48-c-k-c0x00ffffff-no-rj
UgxDYGYKvNloLbq8peB4AaABAg.9ZvdJnebWnO9_7YIh5ayit,UgxDYGYKvNloLbq8peB4AaABAg,L1ung0wil9Y,"@MIT OpenCourseWare denizens of the internet understand, but a layman could be confused. kinda sad to see it go",2022-03-28T18:02:28Z,Jose Swarthy,https://yt3.ggpht.com/ytc/AKedOLRtBWUEAlRyc4BpgIBot0NHnItoKKYt-u59Q_sYAg=s48-c-k-c0x00ffffff-no-rj
UgxDYGYKvNloLbq8peB4AaABAg.9ZvdJnebWnO9_7ENDR0OOX,UgxDYGYKvNloLbq8peB4AaABAg,L1ung0wil9Y,"Nice catch! We fixed it. (sorry, it was pretty funny)",2022-03-28T15:08:20Z,MIT OpenCourseWare,https://yt3.ggpht.com/ytc/AKedOLRbjuOeNMWaFQT0ACDvy78heZw1E124RPwrXFIW=s48-c-k-c0x00ffffff-no-rj
UgwqJJvKMf_v0ehAELB4AaABAg,0,L1ung0wil9Y,"Still changing the names of established barriers to optimization, I see. A resource contention that is causing a bottleneck is now called a Hazard.  In C we could wait on the resource and set a counter to come and check again. In C++ we could set semaphore to flag us when the resource is available.The compiler optimizer should manage resource contention, and not middle ware or app code. In my book a Hazard begats errors, crashes, data loss , downtime, and many sleepless nights. Why overly dramatize the loss of a dozen or two cycles? If you can't afford another $50 G for more parallelism, build smarter compilers, linkers, and 1st pass code scanners. These can work wonders. Work with your CPU consultant at the chip vendor. They have great ideas and they don't get no respect. Talk with them and go with extra buckets for the mind dump you're gonna get. Some will even write the code for you.",2022-03-06T11:32:24Z,kwgm,https://yt3.ggpht.com/ytc/AKedOLRUqoBeO5pdtuLgoipfr02BdLWzitABekcteDd0Bg=s48-c-k-c0x00ffffff-no-rj
Ugw7wBWTeDjANUjj2Px4AaABAg,0,L1ung0wil9Y,"What a great mindset!  13:19 : `` Go one step beyond, and then you can come back!``",2022-03-04T18:01:49Z,Ali,https://yt3.ggpht.com/ytc/AKedOLSrnDmJO3OwHjhudjo2DGh8FQBhvKc5a0-SJFKLnQ=s48-c-k-c0x00ffffff-no-rj
UgySe5g1kRVa991if0F4AaABAg,0,L1ung0wil9Y,"I don't know how YouTube recommended me this(maybe related to googling), 
but anyways, excellent job YouTube!!! Now you're working.",2022-02-26T12:52:47Z,starriet,https://yt3.ggpht.com/ytc/AKedOLQqFnQB1rp2CIB3COd3XfAxChdu4ZudCgeDkTVA_g=s48-c-k-c0x00ffffff-no-rj
