commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
UgzcYhFuYwIKzC9tEZB4AaABAg,0,EH6vE97qIP4,"I think this is one of the super advantages of going to an elite school, the folks around you are literally advancing and creating the world around the subject. I mean Mr. Gensler is now SEC chairman, another student is literally has a startup while taking the class, MIT created the history of the subject.",2022-04-18T03:28:24Z,Harshil Patel,https://yt3.ggpht.com/ytc/AKedOLQlvhDO-CrcICqjhk6yVNUDj68iq3t4zM-8xlZD7A=s48-c-k-c0x00ffffff-no-rj
Ugyv5XXzDRNca5-YU754AaABAg,0,EH6vE97qIP4,Thank you MIT,2022-04-18T03:09:58Z,Prince Singh,https://yt3.ggpht.com/ytc/AKedOLTD3PF1lL6fR_yAsjYNoj9As1p4v5su_nMMajM5JQ=s48-c-k-c0x00ffffff-no-rj
UgyZ439EwVE4AB85w0N4AaABAg,0,EH6vE97qIP4,Now sec chair lol,2022-04-16T15:56:15Z,Jordan Silva,https://yt3.ggpht.com/ytc/AKedOLTQYOtPKVI2Queke-ov0WexZheoSc2thpdVNDjo6Ca1uIElDg_ugxdn2th0FNrn=s48-c-k-c0x00ffffff-no-rj
Ugy3vQUvZs2q410cFuF4AaABAg,0,EH6vE97qIP4,Sec chairman Gary Gensler?!,2022-04-16T15:40:46Z,Kev,https://yt3.ggpht.com/ytc/AKedOLQ3g3VPoYkNiZCLhzpPDTUoHeR_rKM_QT2kHw=s48-c-k-c0x00ffffff-no-rj
Ugxi7AF7DPz3g5AjMkN4AaABAg,0,EH6vE97qIP4,"Gratitude for this learning opportunity, thank you!",2022-04-15T08:56:07Z,J Lua,https://yt3.ggpht.com/ytc/AKedOLS1JZ8qduMSLttUyAQP_rfRlx9uWgg1hgSsFFdwtd7USmO5mMlAGbCJzAyQN-Ky=s48-c-k-c0x00ffffff-no-rj
UgyxCR9R1qJJ1_IKPFB4AaABAg,0,EH6vE97qIP4,"35:13 he mentioned ""Cyberpunk"" in relation to cryptocurrencies 3 years before ""Cyberpunks"" came in.",2022-04-12T20:27:49Z,Angelchildxx,https://yt3.ggpht.com/ytc/AKedOLSp7Llt8-wNLbeOF0gPt_NmuTDA2Kr37Meow1L7=s48-c-k-c0x00ffffff-no-rj
Ugza6L01u2pnfncxDxZ4AaABAg,0,EH6vE97qIP4,Youtube you messed up! shoulda suggested this video back when it was posted! damn.,2022-04-12T13:48:47Z,mexti cancun,https://yt3.ggpht.com/ytc/AKedOLQd7iVr_LRxFajuAFNhel22stmadnJYZSZcgqIukQ=s48-c-k-c0x00ffffff-no-rj
UgwTFd_TFeIXf4Swtdt4AaABAg,0,EH6vE97qIP4,Gary I love you and your work and dedication please keep teachiiing <3,2022-04-06T09:17:15Z,Char Lee,https://yt3.ggpht.com/ytc/AKedOLTjyv4SjKAlwcBvIEo9W6Nsr7NRXdhCsEFSkdvL=s48-c-k-c0x00ffffff-no-rj
UgwHV-CbAQQ7GxEFtch4AaABAg,0,EH6vE97qIP4,XRP is not a security gary!!!!!!!!!!!!!!!!!!,2022-04-06T05:58:16Z,Trump Vs. The FED,https://yt3.ggpht.com/ytc/AKedOLTqGhGofOlLwSCa_1WGCpW7sQNMbhXA3CgAML7wtg=s48-c-k-c0x00ffffff-no-rj
Ugx1x8nFTGFG2mIoiKN4AaABAg,0,EH6vE97qIP4,"I know Laszlo paid(lost 10,000btc) but does the Papa John owner still have the BTC he received or what price he sold them?",2022-04-03T05:51:54Z,Nelson Nelson,https://yt3.ggpht.com/ytc/AKedOLQPCEbuR20L7atp-Zoy75w6f9KN8Wb_KqlrwA-T=s48-c-k-c0x00ffffff-no-rj
