commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
UgxGAUDIYLAi9-OGJbR4AaABAg,0,OQ5jsbhAv_M,"Thank you, MIT !",2022-04-22T19:21:55Z,Fastacel Zapacescu,https://yt3.ggpht.com/V61jjCVDxjSxpVwniYYgTOC4CSrG2philgKmXQSE8XSjpotQbB22MjG8O4pDxIGuqVaF9xTW=s48-c-k-c0x00ffffff-no-rj
UgzRTZ5zPq0J5JOX2vd4AaABAg,0,OQ5jsbhAv_M,I am amazed just at his writing on the board at the very beginning .,2022-04-22T02:12:38Z,Scoobies Doobies,https://yt3.ggpht.com/ytc/AKedOLT-AwL65T7iseCNWQ3vx8QkEvseo05QzvsXLUwmNw=s48-c-k-c0x00ffffff-no-rj
UgxOFGSi4q8Yjt2xfyd4AaABAg,0,OQ5jsbhAv_M,#GotaGoHome2022,2022-04-19T17:59:37Z,U.P.M.Legend,https://yt3.ggpht.com/YaR2pNDXyjSqCh5H0a_woPIypzwTHMndmWpDwFLDeYagpx3JMSTGhpv1LZ5eFNJvxB3b5kQY=s48-c-k-c0x00ffffff-no-rj
UgwE1dc8xMhucnYDaSl4AaABAg,0,OQ5jsbhAv_M,I can't understant anything that he say,2022-04-19T06:58:27Z,Mark Edward,https://yt3.ggpht.com/ytc/AKedOLQL8xPjZqiPpOdS3IV9iZ83MJ4eeIEih_ovIw=s48-c-k-c0x00ffffff-no-rj
UgzG-nBrLNdNy2EvT9N4AaABAg,0,OQ5jsbhAv_M,NINE YEARS AGO!!!! Don't do us any favors.,2022-04-19T01:09:54Z,Trump's Hair Piece Is Missing,https://yt3.ggpht.com/3m6Gsf0rnUHAD0ZrNCyWgVCzhZzUe2IoTxTkcBXUr5F3MSYTZaELlcGPxPDCJMZo_WmFSmQEyg=s48-c-k-c0x00ffffff-no-rj
UgyINBP5OWeWFMAHiYp4AaABAg,0,OQ5jsbhAv_M,If time=$ patience=loan.,2022-04-17T09:37:23Z,B Bear,https://yt3.ggpht.com/ytc/AKedOLStBMo0gA2f3Ot3GG1z-2t__j1uKvyMJb-Dd9ucjw=s48-c-k-c0x00ffffff-no-rj
UgxXdm-w6sqB5H9472d4AaABAg,0,OQ5jsbhAv_M,This shit hard cuz,2022-04-15T19:56:27Z,MusicalGenius 24,https://yt3.ggpht.com/38dPGjv6bakaGdhM9YYLngW8Lu72RG0nPVVysoSBj6VewDSxdH4DCKW0dv4-U1-pKDqDgtBVdw=s48-c-k-c0x00ffffff-no-rj
UgypAZVyDHc7g_U5vz54AaABAg,0,OQ5jsbhAv_M,If this guy was my professor I might have not dropped out!  We need ppl like him thank you for sharing this,2022-04-13T17:19:03Z,Wu Way,https://yt3.ggpht.com/ytc/AKedOLTfSVunkY5dPPoUqlIcdsvf9GCfhju8uzshj553=s48-c-k-c0x00ffffff-no-rj
Ugx71Bfwd7nSF7xA74x4AaABAg,0,OQ5jsbhAv_M,"I lost him when he started explaining the shortest paths. Wtf does ""it changes s"" mean? Why do we have to start from the end instead of trying everything from the start? He completely hand waved that.",2022-03-27T03:50:18Z,nollix,https://yt3.ggpht.com/ytc/AKedOLTIDNMc7ZQJbLGWyuqHJMD5nPp2IkXYHSQt-q7j=s48-c-k-c0x00ffffff-no-rj
Ugw4WpEJ8vjhZjwZhmF4AaABAg,0,OQ5jsbhAv_M,I always assumed it was called dynamic because the programs were reusing outputs from one part of the algorithm as the inputs to another which kind of made them dynamic and changing.,2022-03-22T06:01:54Z,atomly,https://yt3.ggpht.com/ytc/AKedOLQQAlyPDmPjjy6sGSySOZtbkCr6TfwaIArXvA=s48-c-k-c0x00ffffff-no-rj
Ugx6Kkfu5kRl1TPKyQd4AaABAg,0,OQ5jsbhAv_M,I watch these complicated math videos just to remind myself that studying medicine was the right choice for me,2022-03-21T20:08:40Z,Nova,https://yt3.ggpht.com/ytc/AKedOLSaYd4llkUb7u2bc1JxOQegXiMs_GvJyRyRrwCX=s48-c-k-c0x00ffffff-no-rj
UgzTYOQh1LCKElgA78R4AaABAg,0,OQ5jsbhAv_M,Thanks man,2022-03-15T07:02:43Z,Islombek Nematov,https://yt3.ggpht.com/ytc/AKedOLRIqRXMed9caT4sBW89bIIp3SjX7co6B1t3FARl=s48-c-k-c0x00ffffff-no-rj
UgymcopltGXTdV1-AiN4AaABAg,0,OQ5jsbhAv_M,19:52 look how he did the & like that was fast,2022-03-10T01:28:07Z,Lou,https://yt3.ggpht.com/JLLM8_5ctySxcnKzewY5yeX61bs7aXuz0k0V_bOeDBO_ptoN0myEQ4eyE4kCuoStxVGTNGnAmw=s48-c-k-c0x00ffffff-no-rj
Ugw1RpH5Gc7lcrqam754AaABAg,0,OQ5jsbhAv_M,I hate mathematical induction. I love dynamic programming.,2022-03-04T16:51:43Z,James Pedid,https://yt3.ggpht.com/ytc/AKedOLT3YEOUuPSKMKnbIoo6GgbasxG9C3psVh3Eiet_=s48-c-k-c0x00ffffff-no-rj
UgzkwpsPQ0nvuBqSxCR4AaABAg,0,OQ5jsbhAv_M,Most importantly he is wearing a Dylan shirt. Very well rounded!,2022-03-01T21:59:29Z,DayFlow -by Brad Kaczmarski,https://yt3.ggpht.com/Lp5Jm7QLkAjKvojWN1F_FsaxptLQ2r8Vd-PbxjRmqF6BZGRuy7Bc6L0gsu7zsM7sov0Rpnj0=s48-c-k-c0x00ffffff-no-rj
Ugy9FazhcFcodOM73H54AaABAg,0,OQ5jsbhAv_M,Watching people spell things in print in chalk on a blackboard in a lecture room for a lengthy seeming duration of time by a professor who is assumed to know what he is doing why he is doing it and what the eventual --the eventual result will be is mindbendingly excruciatingly non riveting !,2022-02-28T21:01:24Z,edward mac nab,https://yt3.ggpht.com/ytc/AKedOLT-e3AdyKWGqunYUuYseuLNYx4f7_135Hb0H4xPmqPaiQM7goaa6aYf45RJ5kzb=s48-c-k-c0x00ffffff-no-rj
UgzmHuNenZHuB2lwYFh4AaABAg,0,OQ5jsbhAv_M,how did he spin his chalk so pro 31:59 and 32:17,2022-02-25T01:19:01Z,Phillips Vu,https://yt3.ggpht.com/ytc/AKedOLQlwiD56qoBj-iOg8lZWvH26F5xmy5hvzwJUvSod2Fj7rWw4kYhpRfIvXbuN7Kg=s48-c-k-c0x00ffffff-no-rj
UgwKr-evLaeWLEyPD3p4AaABAg,0,OQ5jsbhAv_M,Fibonacci is when you add the two previous numbers in the sequence to get the next number and so forth.,2022-02-22T18:19:56Z,Oludotun John Showemimo,https://yt3.ggpht.com/ytc/AKedOLS0vZHH6XQ78NjiR5EIzm1cLykUL1rfeIwpoQ=s48-c-k-c0x00ffffff-no-rj
UgysZkbZA12D-wGwbeF4AaABAg,0,OQ5jsbhAv_M,He has Sheldon like features too along with a genius mind,2022-02-14T09:16:56Z,pushpak gupta,https://yt3.ggpht.com/ytc/AKedOLT88W8z-qnzB4KoI85H_P_eXxzDsqqyaOvZ748hTQ=s48-c-k-c0x00ffffff-no-rj
Ugw-yDjI0XYJSTu2en14AaABAg,0,OQ5jsbhAv_M,"27:00 Bottom up can be optimized further by hard coding the first two results manually the itterate without a conditional and saving the result right away.
When done looping, return the last result.",2022-02-10T02:33:34Z,Greg Weigner,https://yt3.ggpht.com/ytc/AKedOLTO5_GDN6KImW-uL1iVy3X3gAaH0JieYoK11A=s48-c-k-c0x00ffffff-no-rj
Ugw-yDjI0XYJSTu2en14AaABAg.9YFRQyohbsa9YG-7O0jdK8,Ugw-yDjI0XYJSTu2en14AaABAg,OQ5jsbhAv_M,"30:00
import java.math.BigInteger;
public class FibonacciExample{
public static void main(String args[]){
int fibSequenceNum = 107;
int n = fibSequenceNum/2;
BigInteger[] fib = {BigInteger.valueOf(0),BigInteger.valueOf(1)};
for(int i = 0; i < n; i++) {
    fib[0] = fib[0].add(fib[1]);
    fib[1] = fib[0].add(fib[1]);
}
System.out.println(fib[fibSequenceNum%2]);
}}",2022-02-10T07:45:28Z,Greg Weigner,https://yt3.ggpht.com/ytc/AKedOLTO5_GDN6KImW-uL1iVy3X3gAaH0JieYoK11A=s48-c-k-c0x00ffffff-no-rj
Ugy0VE3XpJwAIXc92lF4AaABAg,0,OQ5jsbhAv_M,may I ask why at the end the time complexity is O(VE) instead of O(V^2E)?,2022-02-03T22:54:23Z,quantum君,https://yt3.ggpht.com/fauD-e7kFba4pcUW2cLSs_ku_AVCHaHGtE16YJdpUo26kBb8BA5feiJrTJWFTwKB2FXU5snZLg=s48-c-k-c0x00ffffff-no-rj
UgzKx3pB-DJXrVVwmmd4AaABAg,0,OQ5jsbhAv_M,What an incredible human being.,2022-02-03T18:06:05Z,Suade Hart,https://yt3.ggpht.com/ytc/AKedOLQlNQktZp_XZ5rZZuJaNs0Fl-pBt50-Km7XKw=s48-c-k-c0x00ffffff-no-rj
