commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
Ugyrx-IEmxcr-Hf8ozt4AaABAg.9DE1ycbYm9C9YDnq0zZbJh,Ugyrx-IEmxcr-Hf8ozt4AaABAg,X8jsijhllIA,"@Dhanush 2025 but 6 also belong to the block 4, which make the 4's parity wrong",2022-02-09T11:19:37Z,moestietabarnak,https://yt3.ggpht.com/ytc/AKedOLT4_t6xVWxpWXVW4Lx9yRYHb254u-Lm3N-sOA=s48-c-k-c0x00ffffff-no-rj
Ugyrx-IEmxcr-Hf8ozt4AaABAg.9DE1ycbYm9C9YDnX-w7LH4,Ugyrx-IEmxcr-Hf8ozt4AaABAg,X8jsijhllIA,"@IllusionistsBane the parity bit are their own parity bit.
In fact, A thing I like to point out, if you take all the parity bit and form a binary word (parity bit1 * 2^0 + parity bit2 * 2^1 + parity bit3 * 2^2 + parity bit4 * 2^3
you now have a 4 bits nibble, that give you the INDEX of the bit in error! 
0001 mean parity bit 1 is in error, 1000 mean parity bit in position 8 is in error, 1010 mean the 10th bit in in error !",2022-02-09T11:16:53Z,moestietabarnak,https://yt3.ggpht.com/ytc/AKedOLT4_t6xVWxpWXVW4Lx9yRYHb254u-Lm3N-sOA=s48-c-k-c0x00ffffff-no-rj
Ugyrx-IEmxcr-Hf8ozt4AaABAg.9DE1ycbYm9C9XAD59MCudr,Ugyrx-IEmxcr-Hf8ozt4AaABAg,X8jsijhllIA,Can you please make a video on how Enigma was broken?,2022-01-14T05:20:40Z,Shubham Dutta,https://yt3.ggpht.com/ytc/AKedOLQNBPun_S0ouDjE9fsrtBESi16GZfRhWzYPuA=s48-c-k-c0x00ffffff-no-rj
Ugyrx-IEmxcr-Hf8ozt4AaABAg.9DE1ycbYm9C9URVJhwcs1r,Ugyrx-IEmxcr-Hf8ozt4AaABAg,X8jsijhllIA,"Literally if the 1010(10) block get flipped, the 1110(14) bit gets ""corrected"". Or the 1000(8) bit",2021-11-07T08:52:50Z,Manioq,https://yt3.ggpht.com/dBvm0cwu0O6PVsbwgrFdfVfXrg-DBozUkABjdc9Fep-SZYyhw1lRnDUGFTZM_x5F1p8jgEG5oQ=s48-c-k-c0x00ffffff-no-rj
Ugyrx-IEmxcr-Hf8ozt4AaABAg.9DE1ycbYm9C9U0FeUnLAEZ,Ugyrx-IEmxcr-Hf8ozt4AaABAg,X8jsijhllIA,"@Pranav Nayar People might make fun of you, but much more introductory video is needed by more people than will admit it.  This stuff (In a more introductory form) is so important in the modern world is incredibly important.  Just to have the satisfaction of knowing how your world works is priceless.",2021-10-27T18:56:31Z,gedgar2000,https://yt3.ggpht.com/ytc/AKedOLQswVQIWDfpi03sZJqE5bvkSe6-JlJAyoXwTg=s48-c-k-c0x00ffffff-no-rj
Ugxy1CuqRiTJHewfMsJ4AaABAg,0,X8jsijhllIA,Are to pay for!!?!,2022-04-25T09:32:37Z,林katbaby,https://yt3.ggpht.com/ytc/AKedOLRE7Cb2PNRs_rNFfZ5wDantHXQceI9xGGb1rg=s48-c-k-c0x00ffffff-no-rj
UgzkmnR839FZoQZnyZp4AaABAg,0,X8jsijhllIA,Please elaborate or relate to hash.,2022-04-23T16:17:25Z,Musashi,https://yt3.ggpht.com/ytc/AKedOLRiQuWu80xrbGe-cFJopmTsCpTQqm4adQhlN4Xw=s48-c-k-c0x00ffffff-no-rj
UgxJrH4sGCBnq4KUKZJ4AaABAg,0,X8jsijhllIA,I learned how to figure out the 5 bits that aren't the other 11 bits.. But can't figure out how to error check. At least I learned something,2022-04-18T16:47:26Z,Paul,https://yt3.ggpht.com/ytc/AKedOLSRvGcgfC9zTXG3BxByEuVUA7BI5g9eZFFpL13GfHPSi0BM4TNV3A7fM8BKLerj=s48-c-k-c0x00ffffff-no-rj
UgwlPHruj6CS-9Ur1H54AaABAg,0,X8jsijhllIA,"I often point to this specific video as a big catalyst that got me to return to school and study computer science. I'm in my second semester and we're writing a hamming code decoder in assembly, so I had a great reason to revisit it. And I gotta say, the elegance of hamming codes is a lot more evident with your visualizations than it is from lecture. Which is understandable! My professor's job is a little different from yours, but it did make me appreciate how useful your videos are in gaining a big picture perspective.",2022-03-28T03:01:40Z,Mitchamaya,https://yt3.ggpht.com/ytc/AKedOLSwA4Vp9YW5JhvxS29eQbKDHAdgb8muCr-gOw=s48-c-k-c0x00ffffff-no-rj
UgwlPHruj6CS-9Ur1H54AaABAg.9_5wCxZOSYt9_5x7OCk9GT,UgwlPHruj6CS-9Ur1H54AaABAg,X8jsijhllIA,"For one thing, they didn't think to display the code as a square, so the powers of 2 pattern doesn't emerge visually. We're just looking at it as a string of bits all in a line",2022-03-28T03:09:38Z,Mitchamaya,https://yt3.ggpht.com/ytc/AKedOLSwA4Vp9YW5JhvxS29eQbKDHAdgb8muCr-gOw=s48-c-k-c0x00ffffff-no-rj
