commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
UgyGHEs9H7lAJJk6CDF4AaABAg,0,cKxRvEZd3Mw,Thanks For This Tutorial Loved it,2022-04-06T16:11:20Z,Abrahim Zaman A,https://yt3.ggpht.com/ytc/AKedOLSXC1yBxZYN91lwwrAGoRvPxBA3gca-zBFNPlGp=s48-c-k-c0x00ffffff-no-rj
UgxYFgx_8ULCrnM8d_N4AaABAg,0,cKxRvEZd3Mw,"This is the first ML tutorial that spoke to me as a student, not someone who is in a seminar for advanced types. Thank you!",2021-12-04T01:59:50Z,rey mote,https://yt3.ggpht.com/ytc/AKedOLQ5j8wiia9jp6ssxQpCxkht3vllLrEpaFYBJhBOd9ZHqIwrmkxB9t3Ux-zhZWxv=s48-c-k-c0x00ffffff-no-rj
Ugxlbj_3aeZeh8xi8EJ4AaABAg,0,cKxRvEZd3Mw,"Awesome video, just amazing, thank you.",2021-10-31T11:11:46Z,Hayko Poghosyan,https://yt3.ggpht.com/ytc/AKedOLSgU0IbSXfQwkNrdJMdyqBdEstVi7b3lZfjY2Gtdg=s48-c-k-c0x00ffffff-no-rj
UgwPRtC1LX6kdxHQ1Wd4AaABAg,0,cKxRvEZd3Mw,"Wow, thank you!!",2021-07-31T08:37:02Z,YABAHA BAMBA,https://yt3.ggpht.com/ytc/AKedOLTo_VLNLXl4GZV4fEzse_KON0UDw8HY3MiJucV-vA=s48-c-k-c0x00ffffff-no-rj
UgwxeDYpgHZ17HwvvgV4AaABAg,0,cKxRvEZd3Mw,oh my god he just explain machine learning to my 7 year old kid,2021-07-27T15:09:17Z,Polymath Design Studios,https://yt3.ggpht.com/zXjsfWc5O9nYRKDQJZRxCqtwN69Jby6v2B0cWxoKkwWkIuX3pucg54gxUzvLj7v8xK9MGseobg=s48-c-k-c0x00ffffff-no-rj
Ugzi1Ufx-ZlI33ezvcJ4AaABAg,0,cKxRvEZd3Mw,Fantastic. This is a great talent to explain such a difficult stuff like machine learning,2021-07-18T19:02:13Z,kuaranir,https://yt3.ggpht.com/ytc/AKedOLTcR9CA6aCy5JA2zybv-gQKR8UWt5fTMlfCaipMqw=s48-c-k-c0x00ffffff-no-rj
UgwqFJcIZtfizRbuyOF4AaABAg,0,cKxRvEZd3Mw,"Awesome video, thanks for the insightful conversation over a lunch yesterday. It was awesome meeting with you in person :) Keep up the good work Josh.",2021-07-10T20:53:29Z,codebasics,https://yt3.ggpht.com/ytc/AKedOLR98bhIGaCzZQIQ_82pewn-mxzp43LlX8wX9oaN=s48-c-k-c0x00ffffff-no-rj
Ugz1Hdt5eg2R0OoWyHt4AaABAg,0,cKxRvEZd3Mw,"Came here after the Mr Dhaval patel ""codebasics ""recommended channel..thank you",2021-07-10T16:42:45Z,sn patel,https://yt3.ggpht.com/ytc/AKedOLQih86M083p_rQRtZbo2xhLtMReYSMacgmZ5glU=s48-c-k-c0x00ffffff-no-rj
UgwMoTtSXRxQOySPGoB4AaABAg,0,cKxRvEZd3Mw,Without Josh no ml,2021-07-10T15:31:43Z,reddykishore,https://yt3.ggpht.com/ytc/AKedOLTrIiDnYRng4ZwsPj_KzELKn2iIf0cHFO9l_xkdTdqadIgYe_jRH_w16INyGBa6=s48-c-k-c0x00ffffff-no-rj
UgyUCNJYApaVXsROtS94AaABAg,0,cKxRvEZd3Mw,"You can train your machine learning model for image classification even without writing any code in an Android app called Pocket AutoML. It trains a model right on your phone without sending your photos to some ""cloud"" so it can even work offline.",2021-07-09T13:12:39Z,Evgeniy Mamchenko,https://yt3.ggpht.com/ytc/AKedOLTu0rlvLyOK2SbwaleNnIN0xLeReDkfdDIdRg=s48-c-k-c0x00ffffff-no-rj
UgyzVLI1nvyMYzm73Dp4AaABAg,0,cKxRvEZd3Mw,"Thanks, I was trying to learn machine learning for a while, but every video I watched was huge and complicated",2021-06-05T15:19:10Z,Programming cat,https://yt3.ggpht.com/tH5qPDHBnMh27njZL2cRzvO-1u1YfQIIsddtBvnh2VYFA7JzgnRyNT7WIrUsVzI76WSrm0GfcA=s48-c-k-c0x00ffffff-no-rj
UgxtZ5wQ7gX6LK9x00x4AaABAg,0,cKxRvEZd3Mw,"People, hear me out please. Using libraries is not ""Writing from Scratch""",2021-05-17T11:17:53Z,Chaitanya Bhardwaj,https://yt3.ggpht.com/ytc/AKedOLRR-rynYuvLoCz9AoQFg-9p6bt8pOrSE_yuzG1o8g=s48-c-k-c0x00ffffff-no-rj
Ugy-2ifFljPBDLO37194AaABAg,0,cKxRvEZd3Mw,Need to create an IA to recognize if the cake is a real cake,2021-02-22T13:33:49Z,Sama chan,https://yt3.ggpht.com/ytc/AKedOLToBtF1DOOkt-amEpdJdcePz4XloFMf1wFban8R=s48-c-k-c0x00ffffff-no-rj
Ugzho2lQJ1RjFQ_J7Hx4AaABAg,0,cKxRvEZd3Mw,"Oh ye, I made a hardcoded program to solve a google capcha to tell the difference between images with fire hydrants and not, it works pretty well, like 80% of the time it does it correct. But that's only fire hydrants with unique colours!",2021-02-15T14:18:48Z,hobrin,https://yt3.ggpht.com/ytc/AKedOLSxGJJ45RpTbpxlcbh4-2hbIM4kl3uiW53MhaOZ_Q=s48-c-k-c0x00ffffff-no-rj
Ugwj6qc1iVS4ZD5KdzB4AaABAg,0,cKxRvEZd3Mw,My advice: do not learn sklearn before you know the theory. sklearn doesn't tell you the whole story behind each function.,2021-01-27T03:18:08Z,Hen Halpert,https://yt3.ggpht.com/ytc/AKedOLQFrewASJBr2L7_inodMkjbfNJNzKrUcrw5Nb4Q=s48-c-k-c0x00ffffff-no-rj
