commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
UgyF0NpfeUVmnaFRfgp4AaABAg,0,dIUTsFT2MeQ,"I'm looking for NLP because I want to learn a new language, and I've many ideas of tooling that could help me, however, I didn't find any pre-existing solutions out there for my specific ideas, so I need to get my hands dirty.",2022-04-24T03:44:21Z,Lucas Simoni,https://yt3.ggpht.com/69KrcyFD8D1RFSMOc9Kxu3bEqcQrRSpF0BIt4-QDRiDhH4ttkfBoa6hkdYi-kcbvoFSqdrF2aQ=s48-c-k-c0x00ffffff-no-rj
UgwELcist7r6DruxZDN4AaABAg,0,dIUTsFT2MeQ,"I teach in the Humanities (college literature and creative writing classes), and I'm actively searching for tools I can use for creative experiments with texts.",2022-04-18T23:14:08Z,Erica Walker,https://yt3.ggpht.com/ytc/AKedOLTeuke3K7o-onGxEX38TgMD4zMDwNX3KXOBWRm11aah-U_jknTRREmD56_d_O53=s48-c-k-c0x00ffffff-no-rj
Ugy7JVvOs8pgcsSueGd4AaABAg,0,dIUTsFT2MeQ,Was there ever a part2 made?,2022-04-18T22:53:16Z,Timothy W. Crane,https://yt3.ggpht.com/ytc/AKedOLSbe_dN7pTOyKLQtnQU108odnVKnSP2DEzb7nRxs14=s48-c-k-c0x00ffffff-no-rj
UgzjAv2Yf9RtJjTJ_PB4AaABAg,0,dIUTsFT2MeQ,Thanks for your awesome introduction :). Would love to have your next course on using spaCy for ML.,2022-04-18T02:45:43Z,Bilal Mahmood,https://yt3.ggpht.com/ytc/AKedOLRJndF8d9FLCsmWXUXxujXa19ScLVBVp6lit9JfAA=s48-c-k-c0x00ffffff-no-rj
Ugw8PUjjoKcEGkU_bu14AaABAg,0,dIUTsFT2MeQ,"text = open(""/content/evolution1.txt"").read() works better for me than the method he showed to read in text files...",2022-04-15T05:31:14Z,Zayden Tibbets,https://yt3.ggpht.com/ytc/AKedOLSiUt6iD-dDol798usqsffFtYXO5KWECuuCCxAUQ1sa55Cr5Q7JgjPM4KEfRHJV=s48-c-k-c0x00ffffff-no-rj
UgzVOZs4OpJv1welDIN4AaABAg,0,dIUTsFT2MeQ,Good :),2022-04-01T13:08:48Z,Jake Tech,https://yt3.ggpht.com/4oc_GKW35IbpS-D6ILMdeBzNHUMMeMDl0tTORJ2z2bBfTC4tQ-zepqWgav4j6uQxUE9wIoNvOL8=s48-c-k-c0x00ffffff-no-rj
UgwXXMAKi2qM8rif_HJ4AaABAg,0,dIUTsFT2MeQ,"Outstanding overview of Spacy, can't wait for part 2!  Thank you so much.",2022-03-30T04:27:14Z,Matt Fichtner,https://yt3.ggpht.com/ytc/AKedOLQCOxtW_AIFEi-Be8txigALkZakTfqU38_-oA=s48-c-k-c0x00ffffff-no-rj
UgxQCRj9McClfA4zPcZ4AaABAg,0,dIUTsFT2MeQ,can you please share the dataset,2022-03-28T05:16:40Z,Sai Pavan,https://yt3.ggpht.com/ytc/AKedOLRgTf6sWTNna3F1Ux_-CdAr8ca_qjIFkdhRuA=s48-c-k-c0x00ffffff-no-rj
UgwyPcwuyrIQq5w-Fql4AaABAg,0,dIUTsFT2MeQ,Thanks a lot,2022-03-23T08:38:55Z,Aakarshit Srivastava,https://yt3.ggpht.com/ytc/AKedOLTwOVpa_Bzss9n7xZ2GOKQGB17vFCKR95nmTdOGfF2jnIgH7KMNiexKrqhl94EN=s48-c-k-c0x00ffffff-no-rj
Ugx_SI1KQP53_sCkuEt4AaABAg,0,dIUTsFT2MeQ,Thanks for the amazing video! Is part two out?,2022-03-14T05:36:55Z,Sharat PC,https://yt3.ggpht.com/SirAkceXXqQpgAriOg-Ni0HTvHweiDyZ63HHHjQHsZ9MGyVWoi_rtD5NhL8V8rMlLGVHBMcbdsU=s48-c-k-c0x00ffffff-no-rj
UgwqBqpNG4qyIFjBrFZ4AaABAg,0,dIUTsFT2MeQ,"hi guys, great tutorial! Thanks for sharing it with us. I am not sure why this is happening but on the morphological analysis, the token2.morph gives a type error: TypeError: __repr__ returned non-string (type list), anyone can explain to me why this is happening? I am using google colab, thank you in advance",2022-03-07T09:37:34Z,Elton Silva,https://yt3.ggpht.com/ytc/AKedOLT8e3kiXWDnVoXCndHjWvv_T73V83t67lP02hwUhQ=s48-c-k-c0x00ffffff-no-rj
UgwqBqpNG4qyIFjBrFZ4AaABAg.9ZGZpHLWTY49ZiGPloWc6C,UgwqBqpNG4qyIFjBrFZ4AaABAg,dIUTsFT2MeQ,"Google Colab has an old version of spacy

do this:

!pip install spacy==3.0.1
import spacy
!python -m spacy download en_core_web_sm",2022-03-18T13:05:54Z,FjkgB,https://yt3.ggpht.com/4J2lo9ukoSfDGlbu1hfIe3XhWCw9GKeCJinsUSYf-zPjNO1MWJiNX4uYyAaF93Wkb4N6MdKHTkM=s48-c-k-c0x00ffffff-no-rj
UgyDPFkSKdTgiWlrXCx4AaABAg,0,dIUTsFT2MeQ,"I can't believe such good content is for free, thank you.",2022-03-05T15:53:00Z,Anas Salhi,https://yt3.ggpht.com/ytc/AKedOLRcZn37ihEeXk0qt4hw138K2AO4abQZ1BAl96J3qg=s48-c-k-c0x00ffffff-no-rj
Ugx0_iU__fNoDNmmaOR4AaABAg,0,dIUTsFT2MeQ,I am trying to find the files the instructor is using. Where are they? I cannot find any link to download them,2022-03-01T05:43:37Z,john,https://yt3.ggpht.com/ytc/AKedOLSV7-8opec8TRr_x4q9l9IJRVEH2fiOISi6Mg=s48-c-k-c0x00ffffff-no-rj
