commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
UgzunVKa0LOO8MinGkd4AaABAg,0,35Idb_lCU4o,Perfect 👌 👌 👌,2022-05-16T07:13:55Z,Chaimaa,https://yt3.ggpht.com/ytc/AKedOLT4hhLw-7ZpWA2AFfs1hPS-MHgWEA3FtY6ofg=s48-c-k-c0x00ffffff-no-rj
Ugwf39Vl7L_H-5wOLHt4AaABAg,0,35Idb_lCU4o,"Excellent explanation, and kept my interest the whole way through. Its funny to look back from 2022 and how the studies have emerged since this video was released, showing antibodies waning after 8-10 weeks. And with the new Pfizer documents released showing 12% effectiveness and not 95% like originally thought. Looking forward to further emerging research on these vaccines.",2022-05-14T23:10:54Z,Melissa Mullin,https://yt3.ggpht.com/ytc/AKedOLSnPnKsyk8psnRmfMIEgguk2d_J2j3yr-Iy2X2lgQ=s48-c-k-c0x00ffffff-no-rj
UgwOHbRs5Txp5gA2GIx4AaABAg,0,35Idb_lCU4o,I love the ninja nerd but this has not aged well as the adverse reactions are not mentioned.,2022-05-12T16:30:33Z,Stephen Thomas BSc (STEM),https://yt3.ggpht.com/qTrZuZU66Zo44ESYHCRwEfIWFN-YhVRj8Rg1T-ppg2c9hV-cSytOaD8R8BTW53GkDZlf47D16w=s48-c-k-c0x00ffffff-no-rj
UgwvJpuY8H0XjqnNCL14AaABAg,0,35Idb_lCU4o,I want to have his children.,2022-05-11T08:26:43Z,Ladylovemm,https://yt3.ggpht.com/ytc/AKedOLS_M7Euox98K0tNdpy9-XAciGzn2EIraRgMKA=s48-c-k-c0x00ffffff-no-rj
Ugz6kZncOOfD6Kkfif94AaABAg,0,35Idb_lCU4o,"And the Absolute Risk reduction for all 3 ranges from 0.8 to 1.3%, compared to the exaggerated Relative Risk reduction, NNT 21000, but NNH of 6. No, these vaccines make no sense.",2022-05-09T02:18:13Z,Brendon Ward,https://yt3.ggpht.com/ytc/AKedOLSU25YkKt1_RC7Hv0UTDquX6qvDsawLQD2_jA=s48-c-k-c0x00ffffff-no-rj
UgyOiZtbTecPgbvhyv94AaABAg,0,35Idb_lCU4o,Beautifully explained except for some minor details you missed. These vaxines suppress the immune system and cause hundreds o thousands of side effects (FDA fact).,2022-05-08T00:47:51Z,carlos marquez,https://yt3.ggpht.com/ytc/AKedOLSA7Gj1E49a10bnJFmfkaVaFau_YTdNrfeivA=s48-c-k-c0x00ffffff-no-rj
Ugxrsfv5R6wTDUjoTZ14AaABAg,0,35Idb_lCU4o,"Klan despues de 3 años de rehabilitación, se hizo doctor... xd",2022-05-07T23:59:29Z,Killahssj,https://yt3.ggpht.com/ytc/AKedOLTByAP2GLG714X35QddBn-MtazD-r29_SVKiwEELr8=s48-c-k-c0x00ffffff-no-rj
Ugyc0ViPfsKWYkpW4Zt4AaABAg,0,35Idb_lCU4o,Podrías  tener títulos en español ? Graciass,2022-05-02T02:24:12Z,Luis Plata,https://yt3.ggpht.com/ytc/AKedOLQ2IKfCVrTsoteGqcLB6xArscNLpVaULyWJmA=s48-c-k-c0x00ffffff-no-rj
Ugzb2u0tNoQHFvuqqAt4AaABAg,0,35Idb_lCU4o,You probably have some words translated into Thai because my country is underdeveloped can't teach people in the country to be proficient in foreign languages ​​and also lied to people in the country about vaccines suggesting that people in the country get vaccinated like  The formula is more cold than the normal formula. I want you to advise them to know that foreign countries do not recommend the strange injection because the doctor in my country is more in the community who doesn't tell the truth to the people in the country.  what effect is it,2022-05-01T13:56:57Z,Zen game YouTube,https://yt3.ggpht.com/ytc/AKedOLTiH0PYTogLapyNvRNqUxjO-e7EVKqcGMM1GvQ5=s48-c-k-c0x00ffffff-no-rj
UgyZxXDdH4hOqoiA-Wl4AaABAg,0,35Idb_lCU4o,)))),2022-04-25T20:57:53Z,Drtgf Bamloc,https://yt3.ggpht.com/ytc/AKedOLRD3-PDKRP0xi93WcEWsqXouF7ciJNY2tXatnpOEwcaeqAifJZluiddSn6f0tVE=s48-c-k-c0x00ffffff-no-rj
