commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
Ugw5zT6F2yUI4Ybilal4AaABAg,0,vN30emwcNS4,"The professor featured in this video (Roger Seheult, MD) has ""mini-courses"" on over 60 topics at his website: MedCram.com
Other recent MedCram interviews: Vitamin D and COVID 19: The Evidence for Prevention and Treatment of SARS CoV 2 https://youtu.be/ha2mLz-Xdpg
COVID 19 Vaccine Deep Dive: Safety, Immunity, RNA Production, w Shane Crotty, PhD https://youtu.be/eK0C5tFHze8
At Home COVID 19 Antigen Testing and Vaccine Update with Harvard Professor Michael Mina, MD https://youtu.be/CjphzlV5DYo",2021-01-02T22:23:27Z,MedCram - Medical Lectures Explained CLEARLY,https://yt3.ggpht.com/ytc/AKedOLS8kzx5BL5vju2efLnrB6zyBh053ETraTOukM9dfQ=s48-c-k-c0x00ffffff-no-rj
Ugw5zT6F2yUI4Ybilal4AaABAg.9I1ISSuulxO9I1InHiHwcQ,Ugw5zT6F2yUI4Ybilal4AaABAg,vN30emwcNS4,Thank you!!!!,2021-01-02T22:26:26Z,C.L. Stewart,https://yt3.ggpht.com/ytc/AKedOLSIG_U0DPjmcsxbVUvjyBURu-qrQ7Z_vQxF3gTzlFU=s48-c-k-c0x00ffffff-no-rj
Ugw5zT6F2yUI4Ybilal4AaABAg.9I1ISSuulxO9I1JUpeaUJZ,Ugw5zT6F2yUI4Ybilal4AaABAg,vN30emwcNS4,Already doing a few things on the list so feeling reassured - Thank you.,2021-01-02T22:32:31Z,Melanie Skivington,https://yt3.ggpht.com/ytc/AKedOLRCj_L2Pfbuk8FE5rnVzfeJepoO7ioiE3PhhQ=s48-c-k-c0x00ffffff-no-rj
UgwO2YN2iIiFgaTR9x14AaABAg,0,vN30emwcNS4,Excellent information!,2022-05-06T15:07:09Z,Glamper Jan,https://yt3.ggpht.com/ytc/AKedOLRaPcZCrid5wDvZVIcTWrxRpuJ7HDvuPp68tTj6zQ=s48-c-k-c0x00ffffff-no-rj
UgzSZ2vrqK7-7bmNtcZ4AaABAg,0,vN30emwcNS4,"I can understand why people have COVID fatigue.......listening to doctors discuss the range of diagnostic tests via super technical medical terminology in order to comprehend infection, transmission, diagnoses, prevention, containment, treatment, therapies, etc can make your head spin.  I suppose that's because when COVID sets in, it travels with such ease to several vital organs, and can affect multiple organ systems at once, complicating everything.  

Some things just don't have an EASY button to them; mysterious illnesses like this one are near the top.  I was actually at Mayo briefly around the beginning of COVID and received vaccines. I've been negative ever since, but I'm not sure I trust the tests.  However, it seems like the efficacy is going to wane eventually, and with take-home kits taking over, it'll just be scout's honor that everyone's status remains negative.

I'm taking a blood thinner for now to reduce the possibility of clotting.",2022-04-25T04:21:12Z,Darren Walters,https://yt3.ggpht.com/ytc/AKedOLQZi1lx79epUensVaVg3lS4JDmakxPu4NNDQn0e3Q=s48-c-k-c0x00ffffff-no-rj
Ugw_199ypZC_tru_ED14AaABAg,0,vN30emwcNS4,Great video - thanks!,2022-04-23T00:49:09Z,Marline Gamble,https://yt3.ggpht.com/ytc/AKedOLSBeQJSg6paYlO8GEHGP5yrS_B9MoBUZh5EqWUln7A=s48-c-k-c0x00ffffff-no-rj
Ugy2tmuczsSc7TYw81p4AaABAg,0,vN30emwcNS4,Bà hoàng là người thằn lằn,2022-04-16T09:36:35Z,Schreckhisevn Brunildapt,https://yt3.ggpht.com/ytc/AKedOLTzXqP0WoV0nDby1QTanguDkMzNKxtYwmkuNyrPLuBSOzNe1BB1Hd_yG8yLwfHb=s48-c-k-c0x00ffffff-no-rj
UgwzT1PZNQkZHrJL9KZ4AaABAg,0,vN30emwcNS4,Great video.  Thank you!,2022-04-15T01:42:31Z,Magalí,https://yt3.ggpht.com/XXu8AE8uTDZLyPnecup2uxCHK-lolOxY6tMC6i12xhC_DZhQvH964CeW6pR91Bdwqga4AU5XUQ=s48-c-k-c0x00ffffff-no-rj
Ugx3Ta3lzYZ-RdtRyMR4AaABAg,0,vN30emwcNS4,This was a very interesting video! I just found out that I am positive for COVID today and I have sleep apnea…I wonder if it will affect me more due to this reason?,2022-04-11T22:22:31Z,Miranda No Michi,https://yt3.ggpht.com/ytc/AKedOLR8WZcNBBFEQcSBDvfpLoSQV9E7qZFTG3M2ygGQCQ=s48-c-k-c0x00ffffff-no-rj
UgxYPdbDexZLWm5_OPh4AaABAg,0,vN30emwcNS4,"The monoclonal antibodies turned things around for me. My oxygen was pretty low, and I'd had covid for 10 days and wasn't getting any better. After getting the antibodies, I began to slowly begin to heal. Strange thing is, I seemed to get this twice right on top of each other. First time was no big deal except for the utter exhaustion. I gave it to my family, cared for them through it, then got it a second time pretty bad.  Our Minnesota governor is making it harder for our citizens to receive now. Not suspicious at all.",2022-04-11T07:07:12Z,MS MS,https://yt3.ggpht.com/PWghfFLeUDsLGHt7nY0WHSrJk2zMPnPnrK9tpEasZF28PCPzpQECFVH9KPJrqLXh_5lnEHpWI9Y=s48-c-k-c0x00ffffff-no-rj
UgwCwhydbjmFgBTDSM54AaABAg,0,vN30emwcNS4,😅😅,2022-04-10T16:30:01Z,Lillian Snyder,https://yt3.ggpht.com/ytc/AKedOLS0IptJq4HEM4sqiBYjed-MPsjf1i_u9qeuvKR8bdQrH5UUcRUKJU0NyMF2lFIn=s48-c-k-c0x00ffffff-no-rj
UgzGWyKmMjwTtx8RzVd4AaABAg,0,vN30emwcNS4,"In addition to be super knowledgeable and helpful you are very articulate which makes it easy to listen to all your presentations. I currently have COVID 19, my husband does too. His symptoms are so mild it’s just like a normal day. And he has diabetes! Instead I am very healthy and this thing is terrible. Aches and pains, dizziness, cough, sore throat, runny nose all the classic symptoms. The home test was immediately positive and the following day confirmed at the clinic.  I’m at about day 4 and I take 2 very hot baths a day, just to the point of sweating. Hopefully it will help get me through this faster.",2022-04-03T23:11:22Z,Cocora22,https://yt3.ggpht.com/ytc/AKedOLRRUdktozWW4AQIJQYlvUexbEHho21OWv6NRw=s48-c-k-c0x00ffffff-no-rj
UgzwJkFxvgP09W3GMfF4AaABAg,0,vN30emwcNS4,Lets call it for what it is ... it is a strong flu like virus.,2022-03-31T16:05:21Z,Charles Gugins,https://yt3.ggpht.com/ytc/AKedOLQpzE2YMEE_a6osG13Ro1WMsRM3VwGGNVFdOUeL=s48-c-k-c0x00ffffff-no-rj
